incident_year,migration_route,total_number_of_dead_and_missing
2014,Central Mediterranean,3126
2014,US-Mexico border crossing,304
2014,Eastern Mediterranean,101
2014,Sahara Desert crossing,61
2014,Western Mediterranean,59
2015,Central Mediterranean,3149
2015,Eastern Mediterranean,804
2015,Sahara Desert crossing,640
2015,US-Mexico border crossing,347
2015,Western Mediterranean,102
2016,Central Mediterranean,4574
2016,Sahara Desert crossing,1265
2016,Eastern Mediterranean,434
2016,US-Mexico border crossing,412
2016,Western Mediterranean,128
2016,Afghanistan to Iran,14
2017,Central Mediterranean,2853
2017,Sahara Desert crossing,1332
2017,US-Mexico border crossing,414
2017,Western Mediterranean,224
2017,Afghanistan to Iran,123
2017,Eastern Mediterranean,62
2018,Central Mediterranean,1314
2018,Western Mediterranean,849
2018,Sahara Desert crossing,840
2018,US-Mexico border crossing,448
2018,Eastern Mediterranean,174
2018,Afghanistan to Iran,5
2019,Central Mediterranean,1262
2019,Sahara Desert crossing,887
2019,Western Mediterranean,552
2019,US-Mexico border crossing,524
2019,Eastern Mediterranean,71
2019,Afghanistan to Iran,65
2020,Central Mediterranean,990
2020,US-Mexico border crossing,475
2020,Western Mediterranean,343
2020,Afghanistan to Iran,294
2020,Sahara Desert crossing,116
2020,Eastern Mediterranean,106
2021,Central Mediterranean,1553
2021,US-Mexico border crossing,727
2021,Afghanistan to Iran,470
2021,Western Mediterranean,384
2021,Eastern Mediterranean,111
2021,Sahara Desert crossing,85
